               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096094,            0.032853,            0.037582,           0.0047903,             0.78292,            0.037928,           0.0096345,            0.051816,            0.020586,            0.021754,            0.070833,           0.0032407,           0.0032407
                   1,             0.06763,            0.030829,            0.028303,             0.79136,             0.16667,             0.10915,            0.038003,            0.043196,            0.015603,             0.01714,            0.040768,            0.006509,            0.006509
                   2,            0.060541,            0.024941,            0.019803,             0.74701,             0.37458,             0.58907,             0.26094,             0.03638,            0.013306,           0.0083762,            0.010637,           0.0097112,           0.0097112
                   3,            0.057755,             0.02186,            0.013983,             0.42536,             0.66566,             0.56244,             0.21629,            0.042129,            0.010961,           0.0057759,            0.009703,            0.009703,            0.009703
                   4,            0.050091,             0.02089,            0.013479,              0.4943,             0.70293,             0.66103,             0.22286,            0.035823,            0.013078,           0.0073258,            0.009703,            0.009703,            0.009703
                   5,            0.048303,            0.019237,           0.0097994,             0.62095,             0.69695,             0.72226,             0.33758,            0.031232,            0.011265,            0.010358,            0.009604,            0.009604,            0.009604
                   6,            0.041716,             0.01826,            0.010225,             0.86915,             0.78298,             0.86157,             0.51761,            0.022183,           0.0088155,             0.00609,            0.009505,            0.009505,            0.009505
                   7,            0.041909,            0.018073,           0.0091162,             0.55622,             0.72386,             0.73084,             0.37494,            0.028273,            0.012826,            0.019918,            0.009406,            0.009406,            0.009406
                   8,            0.038264,            0.016676,           0.0085226,             0.76892,             0.75047,             0.88648,             0.50643,            0.023404,           0.0090083,           0.0029055,            0.009307,            0.009307,            0.009307
                   9,             0.03805,             0.01582,           0.0090109,             0.90834,             0.81386,             0.90516,             0.65133,            0.016703,           0.0079247,           0.0036256,            0.009208,            0.009208,            0.009208
                  10,            0.036304,            0.016273,           0.0072393,             0.79884,             0.76882,             0.85061,             0.54823,            0.022328,           0.0088108,           0.0034776,            0.009109,            0.009109,            0.009109
                  11,            0.033493,            0.016484,           0.0059566,             0.85506,             0.76927,             0.86676,             0.55857,            0.020075,           0.0084022,           0.0082571,             0.00901,             0.00901,             0.00901
